ss_mean,ss_scale
0.00256,0.05053163761446883
0.0921,0.28916706243969076
0.00497,0.07032282062033632
0.13065,0.33701717686195165
0.1432,0.3502766906318489
0.01546,0.12337336989804565
0.00675,0.08188062957745255
0.00628,0.07899722526772697
0.01521,0.12238731919606706
0.00583,0.07613153814287478
0.00279,0.05274671458963108
0.00581,0.07600160458832432
0.01526,0.12258520465374276
0.00242,0.049133935319695274
0.31066,0.4627638322081794
0.27239,0.44518949661913637
0.00543,0.07348819701149294
0.00582,0.07606659976625745
0.0007,0.026448251359967073
0.14513,0.35223185985938293
0.00902,0.09454437899737878
0.01233,0.11035384497152784
0.00106,0.0325403810672217
0.1473,0.35440472626645375
0.0046,0.06766712643521962
0.0206,0.14204098000225146
0.00421,0.0647477868347637
0.03763,0.19029971912748583
0.00152,0.03895753585636546
0.00222,0.04706454716663064
0.00102,0.031921146595947955
0.01255,0.11132159494006544
0.02542,0.15739702538485278
0.10316,0.3041677405643142
0.00324,0.05682871105348071
0.00382,0.06168798586434801
0.11155,0.3148120034242659
0.0042,0.06467116822819889
0.01071,0.10293345374561179
0.05678,0.2314217612930988
0.0176,0.1314923571923479
0.03168,0.17514673162808375
0.00696,0.08313578290964728
0.0032,0.05647796030311294
0.00875,0.0931312917337669
0.01138,0.10606835343305752
0.00299,0.05459908332563834
0.12382,0.3293760883852985
0.00102,0.03192114659594796
0.00256,0.05053163761446882
0.04813,0.2140408911867076
0.00108,0.03284560244538073
0.01534,0.12290111634968984
0.01466,0.12018770486201989
0.00146,0.03818204289977161
0.01082,0.10345495444878414
0.00548,0.07382390940609959
0.01126,0.10551403887635045
0.01069,0.10283833866802791
0.03376,0.18061080366356824
0.00945,0.09675069767190314
0.00359,0.059808961703075904
0.22042,0.4145298826381518
0.32265,0.4674900827825121
0.70906,0.45419590090620593
0.00415,0.06428668213557145
0.03193,0.17581375116867282
0.0092,0.09547439447307324
0.00457,0.06744712818200638
0.0177,0.13185867434492127
0.00142,0.037656123008084616
0.005,0.07053367989832943
0.00693,0.08295767053142222
0.00229,0.04779912028479186
0.00108,0.03284560244538073
0.00141,0.03752348464628518
0.00229,0.04779912028479186
0.00674,0.08182036665769717
0.00107,0.032693349476613745
0.00538,0.07315090976877868
0.16257,0.3689728920937146
0.00299,0.054599083325638335
0.03343,0.17975659960068227
0.00487,0.06961525048435867
0.00785,0.08825178468450368
0.00124,0.0351917944981497
0.03415,0.18161436479529916
0.00373,0.060959717026902276
0.00546,0.07368981205024207
0.00483,0.06933016010366629
0.35079,0.47721732564943614
0.00214,0.04621060917148788
0.00868,0.09276129365204
0.00242,0.049133935319695274
0.00385,0.061928809935279695
0.01811,0.1333492703392111
0.00713,0.08413776262772857
0.01042,0.10154518009241009
0.01605,0.12566780613983836
0.02426,0.15385529695138872
0.00566,0.07501976006359926
0.10137,0.3018180297795346
0.0166,0.12776713192366806
0.00128,0.03575418297206636
0.0049,0.06982828939620388
0.03526,0.18443625565490104
0.00932,0.09608921687681714
0.0163,0.12662665596153125
0.00256,0.05053163761446882
0.00126,0.03547410886829999
0.00396,0.0628038088016961
0.0155,0.12353036064061339
0.00954,0.09720590722790462
0.00984,0.09870751947040307
0.02399,0.15301790712200972
0.00536,0.07301554902895682
0.02341,0.15120175891834062
0.27289,0.4454447753650277
0.00776,0.08774840397408946
0.015,0.12155245781143219
0.00233,0.04821380611401675
0.12992,0.33621539762479646
0.12428,0.3299007147612748
0.00256,0.05053163761446882
0.00902,0.09454437899737876
0.0021,0.04577761461675345
0.00483,0.06933016010366629
0.01623,0.12635896129677546
0.00087,0.029482928958975568
0.00626,0.07887212688903476
0.02105,0.14355102751286736
0.10506,0.3066307166609373
0.00278,0.05265236556888967
0.00583,0.07613153814287478
0.02994,0.17042181902561654
0.00455,0.0673000557206307
0.51861,0.49965354787092237
0.01686,0.128746807339056
0.04061,0.1973849738455286
0.00659,0.0809108886368207
0.12045,0.32548701587006507
0.01087,0.1036910946031529
0.05558,0.2291088466209893
0.00392,0.06248706746199568
0.00689,0.08271957386253873
0.00439,0.0661114808486393
